iter	Passed	Remaining
0	134	134144
1	136	67926
2	137	45782
3	139	34655
4	140	27993
5	142	23549
6	143	20349
7	146	18180
8	147	16258
9	148	14702
10	149	13420
11	149	12347
12	150	11443
13	151	10661
14	152	9981
15	152	9385
16	153	8870
17	154	8407
18	154	7993
19	155	7616
20	156	7278
21	156	6971
22	157	6687
23	173	7050
24	174	6806
25	177	6664
26	178	6448
27	179	6246
28	181	6062
29	182	5888
30	183	5726
31	184	5573
32	185	5429
33	186	5293
34	187	5164
35	189	5071
36	192	5011
37	194	4916
38	195	4822
39	197	4730
40	198	4636
41	199	4542
42	200	4452
43	201	4371
44	203	4316
45	205	4255
46	209	4240
47	210	4178
48	211	4110
49	212	4046
50	213	3981
51	215	3928
52	216	3867
53	217	3809
54	218	3751
55	219	3698
56	220	3652
57	222	3621
58	224	3575
59	225	3530
60	226	3494
61	228	3454
62	229	3416
63	230	3376
64	232	3343
65	233	3302
66	234	3261
67	234	3220
68	235	3183
69	237	3155
70	238	3121
71	239	3087
72	240	3053
73	241	3019
74	242	2987
75	242	2954
76	243	2924
77	244	2894
78	245	2866
79	246	2835
80	247	2807
81	248	2777
82	248	2745
83	249	2719
84	250	2692
85	251	2671
86	253	2656
87	254	2633
88	255	2610
89	256	2589
90	256	2567
91	257	2546
92	258	2525
93	259	2504
94	260	2484
95	261	2464
96	262	2444
97	263	2424
98	264	2405
99	265	2387
100	266	2371
101	267	2356
102	268	2339
103	269	2322
104	270	2305
105	271	2288
106	272	2271
107	273	2256
108	274	2240
109	274	2224
110	275	2208
111	276	2192
112	277	2177
113	278	2161
114	278	2146
115	279	2131
116	280	2115
117	281	2105
118	282	2093
119	283	2080
120	284	2066
121	285	2053
122	286	2041
123	287	2029
124	288	2016
125	289	2004
126	289	1991
127	290	1979
128	291	1967
129	292	1955
130	292	1943
131	293	1931
132	294	1919
133	295	1909
134	297	1903
135	297	1892
136	298	1882
137	299	1872
138	300	1862
139	301	1852
140	302	1842
141	302	1830
142	303	1820
143	304	1810
144	305	1801
145	306	1791
146	307	1781
147	307	1771
148	308	1762
149	309	1753
150	310	1746
151	312	1740
152	313	1733
153	314	1725
154	314	1717
155	315	1709
156	316	1701
157	317	1693
158	318	1685
159	319	1677
160	319	1667
161	320	1659
162	321	1651
163	322	1643
164	323	1635
165	323	1627
166	324	1619
167	326	1617
168	328	1612
169	329	1606
170	330	1600
171	331	1593
172	332	1587
173	332	1580
174	333	1573
175	334	1566
176	335	1560
177	336	1553
178	337	1547
179	338	1540
180	338	1533
181	339	1527
182	341	1525
183	342	1520
184	343	1515
185	345	1509
186	346	1504
187	347	1499
188	348	1493
189	349	1487
190	349	1482
191	350	1476
192	351	1470
193	352	1464
194	353	1458
195	354	1455
196	356	1454
197	357	1449
198	359	1445
199	359	1439
200	360	1434
201	361	1428
202	362	1423
203	363	1417
204	364	1412
205	365	1407
206	366	1402
207	366	1396
208	367	1391
209	368	1386
210	369	1382
211	371	1379
212	372	1375
213	373	1370
214	374	1366
215	375	1361
216	375	1356
217	376	1352
218	377	1347
219	378	1343
220	379	1338
221	380	1333
222	381	1329
223	382	1324
224	383	1319
225	384	1315
226	385	1312
227	386	1308
228	387	1304
229	388	1300
230	389	1296
231	390	1292
232	391	1287
233	392	1283
234	392	1278
235	393	1274
236	394	1270
237	395	1265
238	395	1260
239	396	1256
240	397	1252
241	398	1248
242	399	1245
243	401	1242
244	402	1239
245	403	1235
246	403	1231
247	404	1227
248	405	1223
249	406	1220
250	407	1216
251	408	1212
252	409	1208
253	410	1204
254	410	1200
255	411	1197
256	412	1193
257	414	1190
258	415	1188
259	416	1184
260	417	1181
261	418	1178
262	419	1174
263	420	1171
264	421	1167
265	421	1164
266	422	1160
267	423	1157
268	424	1153
269	425	1150
270	426	1146
271	428	1147
272	430	1147
273	432	1145
274	434	1145
275	435	1143
276	438	1145
277	440	1144
278	442	1143
279	444	1143
280	446	1142
281	448	1141
282	450	1140
283	453	1142
284	455	1143
285	457	1142
286	459	1140
287	460	1138
288	461	1136
289	463	1134
290	464	1132
291	466	1132
292	468	1130
293	469	1128
294	471	1126
295	472	1124
296	474	1122
297	475	1119
298	476	1117
299	477	1114
300	478	1111
301	480	1109
302	481	1107
303	482	1104
304	483	1101
305	484	1098
306	485	1095
307	486	1094
308	488	1091
309	488	1088
310	489	1085
311	490	1082
312	491	1078
313	492	1075
314	493	1072
315	494	1069
316	495	1067
317	496	1064
318	497	1061
319	497	1058
320	498	1055
321	499	1052
322	500	1049
323	501	1046
324	502	1044
325	503	1041
326	504	1038
327	505	1035
328	506	1032
329	507	1029
330	507	1026
331	508	1023
332	510	1022
333	511	1019
334	512	1017
335	513	1014
336	514	1011
337	515	1008
338	515	1005
339	516	1003
340	517	1000
341	518	997
342	519	994
343	520	991
344	520	988
345	521	986
346	522	983
347	523	980
348	524	978
349	525	976
350	526	973
351	527	970
352	528	967
353	528	965
354	529	962
355	530	959
356	531	957
357	532	954
358	533	951
359	533	949
360	534	946
361	535	943
362	536	941
363	537	938
364	537	935
365	539	933
366	540	932
367	541	929
368	542	927
369	543	924
370	544	922
371	544	920
372	545	917
373	546	915
374	547	912
375	548	910
376	549	907
377	550	905
378	550	902
379	551	900
380	552	897
381	553	895
382	555	894
383	556	892
384	557	890
385	558	888
386	559	886
387	560	884
388	561	882
389	562	880
390	563	878
391	564	875
392	565	873
393	566	871
394	567	868
395	568	866
396	569	865
397	570	863
398	571	860
399	572	858
400	573	856
401	574	854
402	574	851
403	575	849
404	576	847
405	577	844
406	578	842
407	579	840
408	579	838
409	580	835
410	581	833
411	582	831
412	583	829
413	584	827
414	585	825
415	586	823
416	587	820
417	587	818
418	588	816
419	589	814
420	590	811
421	591	809
422	592	807
423	592	805
424	593	803
425	594	800
426	595	798
427	596	796
428	596	794
429	598	793
430	600	792
431	601	790
432	601	788
433	602	786
434	603	783
435	604	781
436	605	779
437	606	777
438	606	775
439	607	773
440	608	771
441	609	769
442	610	767
443	610	765
444	611	763
445	612	761
446	614	759
447	615	758
448	616	756
449	616	753
450	617	751
451	618	749
452	619	747
453	620	745
454	621	743
455	621	741
456	622	739
457	623	737
458	624	735
459	625	733
460	626	731
461	626	729
462	628	728
463	629	727
464	630	725
465	631	723
466	632	721
467	633	719
468	634	717
469	634	715
470	635	713
471	636	712
472	637	710
473	638	708
474	639	706
475	639	704
476	640	702
477	641	700
478	642	698
479	644	697
480	644	695
481	645	694
482	646	692
483	647	690
484	648	688
485	649	686
486	650	684
487	651	683
488	651	681
489	652	679
490	653	677
491	654	675
492	655	674
493	656	672
494	657	670
495	658	669
496	660	668
497	661	666
498	662	664
499	663	663
500	664	661
501	665	659
502	666	658
503	667	656
504	668	655
505	669	654
506	670	652
507	671	650
508	673	649
509	674	647
510	675	646
511	676	644
512	677	643
513	678	641
514	679	639
515	680	638
516	681	636
517	682	634
518	683	633
519	684	632
520	685	630
521	687	629
522	688	628
523	689	626
524	691	625
525	692	623
526	693	622
527	694	620
528	695	619
529	696	617
530	697	616
531	698	614
532	699	613
533	700	611
534	702	610
535	703	609
536	705	608
537	706	606
538	707	605
539	708	603
540	709	602
541	711	600
542	712	599
543	713	597
544	714	596
545	715	594
546	716	592
547	717	591
548	718	590
549	719	588
550	720	587
551	721	585
552	723	584
553	724	582
554	725	581
555	726	579
556	727	578
557	727	576
558	728	574
559	729	573
560	730	571
561	732	570
562	733	569
563	734	568
564	735	566
565	736	564
566	737	563
567	738	561
568	739	560
569	740	558
570	741	557
571	742	555
572	743	554
573	744	552
574	745	551
575	746	549
576	748	548
577	749	547
578	750	545
579	751	544
580	752	543
581	754	541
582	754	539
583	755	538
584	756	536
585	757	535
586	758	533
587	759	532
588	760	530
589	761	529
590	763	528
591	764	526
592	765	525
593	766	523
594	767	522
595	768	520
596	769	519
597	770	517
598	771	516
599	772	514
600	773	513
601	774	511
602	775	510
603	776	508
604	777	507
605	778	506
606	779	504
607	780	503
608	781	501
609	782	500
610	783	498
611	784	497
612	785	495
613	786	494
614	787	492
615	788	491
616	789	489
617	790	488
618	792	487
619	793	486
620	794	485
621	796	483
622	797	482
623	798	481
624	799	479
625	800	478
626	801	476
627	802	475
628	803	473
629	804	472
630	805	471
631	807	470
632	808	468
633	809	467
634	810	465
635	811	464
636	812	463
637	813	461
638	814	460
639	815	458
640	816	457
641	817	455
642	818	454
643	819	453
644	821	451
645	822	450
646	823	449
647	824	447
648	825	446
649	826	445
650	827	443
651	828	442
652	829	440
653	830	439
654	831	438
655	832	436
656	833	435
657	834	433
658	836	432
659	837	431
660	838	430
661	839	428
662	840	427
663	841	425
664	842	424
665	844	423
666	845	421
667	846	420
668	847	419
669	848	417
670	849	416
671	850	415
672	851	413
673	852	412
674	853	411
675	854	409
676	856	408
677	856	407
678	858	405
679	858	404
680	860	403
681	861	401
682	862	400
683	863	398
684	864	397
685	866	396
686	867	395
687	868	393
688	869	392
689	870	390
690	871	389
691	872	388
692	873	386
693	874	385
694	875	384
695	876	382
696	877	381
697	879	380
698	880	379
699	882	378
700	883	376
701	884	375
702	886	374
703	887	373
704	888	371
705	889	370
706	890	369
707	891	367
708	892	366
709	893	365
710	895	363
711	896	362
712	897	361
713	898	360
714	899	358
715	900	357
716	901	356
717	902	354
718	904	353
719	905	351
720	906	350
721	907	349
722	908	347
723	908	346
724	910	345
725	911	344
726	912	342
727	913	341
728	914	340
729	915	338
730	916	337
731	918	336
732	919	334
733	920	333
734	921	332
735	922	330
736	923	329
737	924	328
738	925	326
739	926	325
740	927	324
741	928	322
742	929	321
743	931	320
744	932	319
745	933	317
746	934	316
747	935	315
748	936	313
749	937	312
750	938	311
751	939	309
752	941	308
753	942	307
754	943	306
755	944	304
756	945	303
757	946	302
758	947	300
759	948	299
760	949	298
761	950	296
762	951	295
763	952	294
764	954	293
765	955	292
766	957	290
767	958	289
768	959	288
769	960	286
770	961	285
771	962	284
772	963	282
773	964	281
774	965	280
775	966	278
776	967	277
777	968	276
778	970	275
779	971	273
780	972	272
781	973	271
782	974	270
783	975	268
784	976	267
785	977	266
786	978	264
787	979	263
788	980	262
789	981	260
790	982	259
791	984	258
792	985	257
793	986	255
794	987	254
795	988	253
796	989	252
797	990	250
798	991	249
799	992	248
800	993	246
801	994	245
802	995	244
803	996	243
804	997	241
805	999	240
806	1000	239
807	1001	237
808	1002	236
809	1003	235
810	1004	234
811	1005	232
812	1006	231
813	1007	230
814	1008	228
815	1009	227
816	1010	226
817	1011	225
818	1012	223
819	1013	222
820	1015	221
821	1016	220
822	1017	218
823	1018	217
824	1019	216
825	1020	214
826	1021	213
827	1022	212
828	1023	211
829	1024	209
830	1025	208
831	1026	207
832	1027	205
833	1028	204
834	1030	203
835	1031	202
836	1032	201
837	1033	199
838	1034	198
839	1035	197
840	1036	195
841	1037	194
842	1038	193
843	1039	192
844	1041	190
845	1042	189
846	1043	188
847	1044	187
848	1045	186
849	1046	184
850	1047	183
851	1049	182
852	1050	180
853	1051	179
854	1052	178
855	1053	177
856	1054	175
857	1055	174
858	1056	173
859	1057	172
860	1059	170
861	1060	169
862	1061	168
863	1062	167
864	1064	166
865	1065	164
866	1066	163
867	1067	162
868	1068	161
869	1069	159
870	1070	158
871	1071	157
872	1073	156
873	1074	154
874	1075	153
875	1076	152
876	1077	151
877	1078	149
878	1079	148
879	1080	147
880	1081	146
881	1082	144
882	1083	143
883	1085	142
884	1085	141
885	1087	139
886	1088	138
887	1089	137
888	1090	136
889	1091	134
890	1093	133
891	1094	132
892	1095	131
893	1096	129
894	1097	128
895	1098	127
896	1099	126
897	1100	124
898	1101	123
899	1102	122
900	1103	121
901	1104	120
902	1105	118
903	1106	117
904	1108	116
905	1109	115
906	1110	113
907	1111	112
908	1112	111
909	1113	110
910	1114	108
911	1115	107
912	1116	106
913	1118	105
914	1119	103
915	1120	102
916	1121	101
917	1122	100
918	1123	99
919	1124	97
920	1125	96
921	1126	95
922	1127	94
923	1128	92
924	1129	91
925	1130	90
926	1132	89
927	1133	87
928	1135	86
929	1136	85
930	1137	84
931	1138	83
932	1139	81
933	1140	80
934	1141	79
935	1142	78
936	1143	76
937	1144	75
938	1146	74
939	1147	73
940	1148	72
941	1149	70
942	1151	69
943	1152	68
944	1153	67
945	1155	65
946	1156	64
947	1157	63
948	1158	62
949	1159	61
950	1161	59
951	1163	58
952	1164	57
953	1165	56
954	1166	54
955	1167	53
956	1168	52
957	1170	51
958	1170	50
959	1171	48
960	1173	47
961	1174	46
962	1175	45
963	1177	43
964	1178	42
965	1179	41
966	1180	40
967	1181	39
968	1182	37
969	1183	36
970	1184	35
971	1185	34
972	1186	32
973	1187	31
974	1188	30
975	1189	29
976	1191	28
977	1192	26
978	1193	25
979	1194	24
980	1196	23
981	1197	21
982	1198	20
983	1199	19
984	1200	18
985	1201	17
986	1202	15
987	1203	14
988	1204	13
989	1206	12
990	1208	10
991	1209	9
992	1210	8
993	1211	7
994	1212	6
995	1213	4
996	1214	3
997	1215	2
998	1216	1
999	1217	0
